time,ACTON275,BOL5,Densidad2_,ECE7,GR,GR2,HALFAC3,IACCEL1,RX306
1010.7109,-0.078144081,-0.1001221,0.00086150144,-0.036630038,-0.021978023,-0.058608059,-0.036630038,2.1684983,-0.0048840051
1010.851,-0.031746034,-0.1025641,0.00086150144,-0.034188036,-0.024420025,-0.056166057,-0.063492067,2.1660562,0.0048840051
1010.981,-0.056166057,-0.1025641,-4.0382878e-05,-0.036630038,-0.024420025,-0.063492067,-0.026862027,2.1733823,0.0
1011.171,-0.058608059,-0.1025641,0.0026652701,-0.034188036,-0.021978023,-0.065934069,-0.041514043,2.1709402,0.034188036
1011.371,-0.058608059,-0.1001221,0.00047113359,-0.034188036,-0.024420025,-0.063492067,-0.051282052,2.1684983,0.01953602
1011.561,-0.058608059,-0.1025641,0.00047113359,-0.036630038,-0.024420025,-0.065934069,-0.03907204,2.1758242,0.0097680101
1011.601,-0.041514043,-0.1025641,-0.0015883932,-0.034188036,-0.024420025,-0.061050061,-0.036630038,2.1684983,0.0048840051
1011.641,-0.031746034,-0.1025641,0.00098265009,-0.034188036,-0.021978023,-0.056166057,-0.034188036,2.1684983,-0.0048840051
1011.7209,-0.04884005,-0.1025641,-0.0019787611,-0.036630038,-0.024420025,-0.068376072,-0.034188036,2.1733823,-0.0048840051
1011.751,-0.070818074,-0.1025641,0.0018845344,-0.036630038,-0.021978023,-0.061050061,-0.034188036,2.1733823,0.0
1011.811,-0.063492067,-0.1025641,8.0765756e-05,-0.034188036,-0.021978023,-0.063492067,-0.031746034,2.1709402,-0.0097680101
1011.881,-0.058608059,-0.097680099,0.0006057432,-0.034188036,-0.021978023,-0.065934069,-0.03907204,2.1636143,0.0
1011.991,-0.056166057,-0.1025641,0.0033113961,-0.034188036,-0.024420025,-0.065934069,-0.036630038,2.1758242,0.0
1012.031,-0.083028086,-0.10500611,0.0017633857,-0.036630038,-0.024420025,-0.063492067,-0.029304029,2.1733823,0.0
1012.571,-0.070818074,-0.1025641,0.00021537536,-0.034188036,-0.024420025,-0.063492067,-0.061050061,2.1807082,-0.0048840051
1012.7209,-0.051282052,-0.1025641,-0.0030152551,-0.036630038,-0.024420025,-0.061050061,-0.034188036,2.1733823,-0.0097680101
1012.791,-0.056166057,-0.1001221,-0.00068650895,-0.036630038,-0.024420025,-0.061050061,-0.070818074,2.1684983,-0.0048840051
1012.851,-0.063492067,-0.10500611,-0.00043075072,-0.036630038,-0.024420025,-0.061050061,-0.031746034,2.1758242,0.0
1012.9709,-0.12454212,-0.1025641,0.0026652701,-0.034188036,-0.024420025,-0.058608059,-0.075702079,2.1733823,0.014652015
1013.141,-0.058608059,-0.1025641,-0.00094226719,-0.036630038,-0.024420025,-0.058608059,-0.017094018,2.1758242,0.024420025
1013.2109,-0.061050061,-0.1025641,-0.00082111853,-0.034188036,-0.024420025,-0.058608059,-0.031746034,2.1758242,0.014652015
1013.391,-0.056166057,-0.1025641,0.0053709229,-0.036630038,-0.021978023,-0.061050061,-0.034188036,2.1758242,0.0
1013.481,-0.085470088,-0.092796095,0.0020191439,-0.036630038,-0.021978023,-0.063492067,-0.034188036,2.1733823,0.0048840051
1013.511,-0.063492067,-0.1025641,0.0040786709,-0.034188036,-0.021978023,-0.056166057,-0.061050061,2.1758242,-0.0048840051
1013.541,-0.056166057,-0.097680099,0.0021537535,-0.036630038,-0.024420025,-0.063492067,-0.031746034,2.1782663,-0.0048840051
1013.601,-0.090354092,-0.1025641,0.00047113359,-0.034188036,-0.024420025,-0.061050061,-0.034188036,2.1660562,0.0048840051
1013.631,-0.024420025,-0.1025641,0.0018845344,-0.036630038,-0.024420025,-0.063492067,-0.031746034,2.1733823,-0.014652015
1013.6609,-0.056166057,-0.1025641,0.0029210283,-0.034188036,-0.021978023,-0.063492067,-0.034188036,2.1709402,-0.014652015
1013.751,-0.051282052,-0.1001221,-0.0018576124,-0.034188036,-0.024420025,-0.065934069,-0.029304029,2.1636143,-0.014652015
1014.001,-0.058608059,-0.1025641,-0.0022345192,-0.034188036,-0.024420025,-0.063492067,-0.036630038,2.1782663,0.01953602
1014.101,-0.056166057,-0.1025641,-0.0019787611,-0.036630038,-0.021978023,-0.061050061,-0.031746034,2.1733823,0.024420025
1014.1609,-0.056166057,-0.1025641,-0.0021133707,-0.034188036,-0.024420025,-0.056166057,-0.021978023,2.1733823,0.0097680101
1014.171,-0.056166057,-0.10744811,0.0012384083,-0.034188036,-0.024420025,-0.063492067,-0.046398047,2.1709402,0.0097680101
1014.191,-0.063492067,-0.1001221,0.0016287761,-0.036630038,-0.024420025,-0.058608059,-0.031746034,2.1758242,0.0097680101
1014.421,-0.08791209,-0.1025641,0.0026652701,-0.036630038,-0.026862027,-0.061050061,-0.08791209,2.1733823,0.014652015
1014.4609,-0.04884005,-0.1025641,0.00098265009,-0.036630038,-0.024420025,-0.061050061,-0.036630038,2.1709402,0.0
1014.541,-0.046398047,-0.1025641,0.0017633857,-0.036630038,-0.024420025,-0.061050061,-0.031746034,2.1684983,0.014652015
1014.581,-0.058608059,-0.1025641,-0.0005653603,-0.036630038,-0.024420025,-0.063492067,-0.0073260074,2.1807082,0.014652015
1014.641,-0.058608059,-0.1025641,0.0020191439,-0.036630038,-0.021978023,-0.063492067,-0.012210012,2.1709402,-0.0048840051
1014.861,-0.058608059,-0.10744811,0.0022749023,-0.036630038,-0.024420025,-0.058608059,-0.034188036,2.1733823,0.0048840051
1014.871,-0.063492067,-0.08791209,0.0029210283,-0.036630038,-0.021978023,-0.065934069,-0.036630038,2.1709402,-0.0048840051
1015.021,-0.056166057,-0.1025641,0.00033652398,-0.036630038,-0.021978023,-0.065934069,-0.034188036,2.1709402,-0.0097680101
1015.071,-0.061050061,-0.1025641,0.0031767865,-0.034188036,-0.024420025,-0.063492067,-0.026862027,2.1709402,-0.024420025
1015.651,-0.058608059,-0.1025641,0.0038229127,-0.036630038,-0.024420025,-0.053724054,-0.034188036,2.1733823,-0.014652015
1015.8409,-0.053724054,-0.1025641,0.0016287761,-0.034188036,-0.024420025,-0.053724054,-0.031746034,2.1733823,-0.0097680101
1015.861,-0.056166057,-0.1025641,-0.00030960207,-0.034188036,-0.021978023,-0.068376072,-0.029304029,2.1733823,-0.0097680101
1015.871,-0.058608059,-0.1025641,-0.00030960207,-0.034188036,-0.021978023,-0.068376072,-0.031746034,2.1709402,0.0048840051
1016.051,-0.04884005,-0.1025641,-0.0015883932,-0.036630038,-0.024420025,-0.063492067,-0.034188036,2.1684983,0.014652015
1016.071,-0.061050061,-0.1025641,0.0016287761,-0.036630038,-0.024420025,-0.056166057,-0.029304029,2.1709402,0.0097680101
1016.101,-0.058608059,-0.1001221,0.0006057432,-0.036630038,-0.021978023,-0.051282052,-0.034188036,2.1709402,0.024420025
1016.131,-0.056166057,-0.1001221,-0.0010768768,-0.036630038,-0.021978023,-0.063492067,-0.031746034,2.1709402,0.0097680101
1016.191,-0.058608059,-0.1001221,-0.0017230029,-0.036630038,-0.021978023,-0.1001221,-0.034188036,2.1709402,0.0
1016.401,-0.026862027,-0.1025641,-0.0010768768,-0.036630038,-0.024420025,-0.053724054,-0.029304029,2.1660562,-0.0097680101
1016.561,-0.058608059,-0.11233211,-0.0026248873,-0.036630038,-0.01953602,-0.056166057,-0.043956045,2.1636143,-0.0048840051
1016.611,-0.075702079,-0.1025641,-4.0382878e-05,-0.036630038,-0.021978023,-0.056166057,-0.031746034,2.1587303,0.0
1016.921,-0.056166057,-0.11233211,-0.0005653603,-0.034188036,-0.021978023,-0.061050061,-0.034188036,2.1587303,0.0048840051
1017.071,-0.058608059,-0.1025641,-0.00082111853,-0.036630038,-0.026862027,-0.058608059,-0.029304029,2.1611722,0.0097680101
1017.171,-0.051282052,-0.1025641,-0.00043075072,-0.036630038,-0.024420025,-0.063492067,-0.029304029,2.1611722,0.014652015
1017.201,-0.0048840051,-0.095238097,0.0038229127,-0.034188036,-0.021978023,-0.058608059,-0.034188036,2.1611722,0.01953602
1017.2209,-0.041514043,-0.1025641,0.0043478901,-0.036630038,-0.021978023,-0.056166057,-0.034188036,2.1611722,0.014652015
1017.3409,-0.061050061,-0.1001221,0.0030556379,-0.034188036,-0.021978023,-0.04884005,-0.036630038,2.1636143,0.014652015
